algorithm,seed,generation_time_ms,is_connected,path_length,floor_count,wall_count,floor_ratio,room_count,largest_room_area,used_fixed_start_end_rooms,keep_only_reachable_area_from_start,run_index,png_path
CellularAutomata,2315761153,63.711,false,-1,1546,2550,0.37744140625,0,0,false,false,0,res://output/png/CellularAutomata/run_000_seed_2315761153.png
CellularAutomata,2225734146,67.514,true,16,119,3977,0.029052734375,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_2225734146.png
CellularAutomata,77872261,67.19,true,4,12,4084,0.0029296875,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_77872261.png
CellularAutomata,3153869398,65.537,true,36,152,3944,0.037109375,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_3153869398.png
CellularAutomata,3517915213,64.876,true,111,1447,2649,0.353271484375,0,0,false,false,0,res://output/png/CellularAutomata/run_000_seed_3517915213.png
CellularAutomata,3544897050,62.244,true,18,104,3992,0.025390625,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_3544897050.png
CellularAutomata,3670861946,73.705,true,145,1193,2903,0.291259765625,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_3670861946.png
CellularAutomata,2011953739,64.351,false,-1,1651,2445,0.403076171875,0,0,false,false,0,res://output/png/CellularAutomata/run_000_seed_2011953739.png
CellularAutomata,4239225530,63.486,false,-1,1507,2589,0.367919921875,0,0,false,false,0,res://output/png/CellularAutomata/run_000_seed_4239225530.png
CellularAutomata,1949160812,65.785,false,-1,1535,2561,0.374755859375,0,0,false,false,0,res://output/png/CellularAutomata/run_000_seed_1949160812.png
CellularAutomata,433439566,63.961,true,130,1548,2548,0.3779296875,0,0,false,false,0,res://output/png/CellularAutomata/run_000_seed_433439566.png
CellularAutomata,2697637550,65.347,false,-1,1369,2727,0.334228515625,0,0,true,false,0,res://output/png/CellularAutomata/run_000_seed_2697637550.png
CellularAutomata,2816529370,63.931,false,-1,1375,2721,0.335693359375,0,0,false,false,0,res://output/png/CellularAutomata/run_000_seed_2816529370.png
CellularAutomata,3263593550,66.486,true,15,44,4052,0.0107421875,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_3263593550.png
CellularAutomata,3245568166,67.864,false,-1,159,3937,0.038818359375,0,0,true,true,0,res://output/png/CellularAutomata/run_000_seed_3245568166.png
CellularAutomata,2881710242,65.873,false,-1,1128,2968,0.275390625,0,0,false,false,0,res://output/png/CellularAutomata/run_000_seed_2881710242.png
CellularAutomata,12345,63.408,false,-1,1606,2490,0.39208984375,0,0,false,false,0,res://output/png/CellularAutomata/run_000_seed_12345.png
