algorithm,seed,generation_time_ms,is_connected,path_length,floor_count,wall_count,floor_ratio,room_count,largest_room_area,run_index,used_fixed_start_end_rooms,png_path
PerlinNoise,1586210268,1.856,false,-1,2417,1679,0.590087890625,0,0,0,false,res://output/png/PerlinNoise/run_000_seed_1586210268.png
PerlinNoise,2120562619,1.525,false,-1,1960,2136,0.478515625,0,0,1,false,res://output/png/PerlinNoise/run_001_seed_2120562619.png
PerlinNoise,1966654926,1.563,false,-1,1568,2528,0.3828125,0,0,2,false,res://output/png/PerlinNoise/run_002_seed_1966654926.png
PerlinNoise,4044219624,1.064,false,-1,1701,2395,0.415283203125,0,0,3,false,res://output/png/PerlinNoise/run_003_seed_4044219624.png
PerlinNoise,4141329598,1.433,false,-1,1567,2529,0.382568359375,0,0,4,false,res://output/png/PerlinNoise/run_004_seed_4141329598.png
PerlinNoise,4265577003,1.48,true,120,1954,2142,0.47705078125,0,0,5,false,
PerlinNoise,1504865733,1.077,true,122,2229,1867,0.544189453125,0,0,6,false,
PerlinNoise,2990536146,1.033,true,121,1754,2342,0.42822265625,0,0,7,false,
PerlinNoise,2197547248,1.023,false,-1,1869,2227,0.456298828125,0,0,8,false,
PerlinNoise,3748763650,1.447,false,-1,2015,2081,0.491943359375,0,0,9,false,
PerlinNoise,4176598116,2.872,false,-1,1982,2114,0.48388671875,0,0,false,true,0,res://output/png/PerlinNoise/run_000_seed_4176598116.png
PerlinNoise,720520012,2.561,false,-1,1744,2352,0.42578125,0,0,false,false,0,res://output/png/PerlinNoise/run_000_seed_720520012.png
PerlinNoise,4111754909,2.117,false,-1,1706,2390,0.41650390625,0,0,false,false,0,res://output/png/PerlinNoise/run_000_seed_4111754909.png
PerlinNoise,2646017462,3.353,false,-1,1799,2297,0.439208984375,5,807,false,false,0,res://output/png/PerlinNoise/run_000_seed_2646017462.png
PerlinNoise,310861115,1.982,false,-1,1789,2307,0.436767578125,1,22,false,false,0,res://output/png/PerlinNoise/run_000_seed_310861115.png
PerlinNoise,3231750331,1.758,true,122,2055,2041,0.501708984375,3,41,false,true,0,res://output/png/PerlinNoise/run_000_seed_3231750331.png
PerlinNoise,3072514514,1.48,false,-1,1849,2247,0.451416015625,2,43,false,false,0,res://output/png/PerlinNoise/run_000_seed_3072514514.png
PerlinNoise,2235110212,1.819,false,-1,1618,2478,0.39501953125,4,133,false,true,0,res://output/png/PerlinNoise/run_000_seed_2235110212.png
PerlinNoise,2467167317,2.249,false,-1,1970,2126,0.48095703125,5,46,false,true,0,res://output/png/PerlinNoise/run_000_seed_2467167317.png
PerlinNoise,4193687559,1.892,false,-1,1712,2384,0.41796875,3,123,false,true,0,res://output/png/PerlinNoise/run_000_seed_4193687559.png
PerlinNoise,512392111,1.43,false,-1,1865,2231,0.455322265625,4,728,false,true,0,res://output/png/PerlinNoise/run_000_seed_512392111.png
PerlinNoise,3928541445,1.388,false,-1,1710,2386,0.41748046875,3,76,false,false,0,res://output/png/PerlinNoise/run_000_seed_3928541445.png
PerlinNoise,897822702,2.065,false,-1,2079,2017,0.507568359375,3,183,false,false,0,res://output/png/PerlinNoise/run_000_seed_897822702.png
PerlinNoise,4212826702,3.173,false,-1,1717,2379,0.419189453125,4,26,false,false,0,res://output/png/PerlinNoise/run_000_seed_4212826702.png
PerlinNoise,1498615915,3.356,false,-1,1916,2180,0.4677734375,3,643,false,true,0,res://output/png/PerlinNoise/run_000_seed_1498615915.png
PerlinNoise,307313465,2.254,false,-1,1836,2260,0.4482421875,3,386,false,true,0,res://output/png/PerlinNoise/run_000_seed_307313465.png
PerlinNoise,4070623301,2.766,false,-1,1766,2330,0.43115234375,3,49,true,true,0,res://output/png/PerlinNoise/run_000_seed_4070623301.png
PerlinNoise,1931253177,2.249,true,120,2027,2069,0.494873046875,2,23,false,false,0,res://output/png/PerlinNoise/run_000_seed_1931253177.png
PerlinNoise,3575392747,2.39,false,-1,1926,2170,0.47021484375,3,24,false,false,0,res://output/png/PerlinNoise/run_000_seed_3575392747.png
PerlinNoise,337849682,2.581,false,-1,1476,2620,0.3603515625,2,23,true,false,0,res://output/png/PerlinNoise/run_000_seed_337849682.png
PerlinNoise,1565055870,2.723,false,-1,1799,2297,0.439208984375,3,38,false,true,0,res://output/png/PerlinNoise/run_000_seed_1565055870.png
PerlinNoise,2573419518,2.694,false,-1,1779,2317,0.434326171875,6,234,false,false,0,res://output/png/PerlinNoise/run_000_seed_2573419518.png
PerlinNoise,2182582265,2.621,false,-1,1611,2485,0.393310546875,6,60,false,false,0,res://output/png/PerlinNoise/run_000_seed_2182582265.png
