algorithm,seed,generation_time_ms,is_connected,path_length,floor_count,wall_count,floor_ratio,room_count,largest_room_area,used_fixed_start_end_rooms,keep_only_reachable_area_from_start,run_index,png_path
ProcGenHybrid,12345,25.266,true,91,2065,2031,0.504150390625,12,198,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,40.401,true,91,1951,2145,0.476318359375,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,24.28,true,91,2065,2031,0.504150390625,12,198,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,34.818,true,91,1951,2145,0.476318359375,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,22.987,true,91,2065,2031,0.504150390625,12,198,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,39.011,true,91,1951,2145,0.476318359375,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,44.553,true,91,1997,2099,0.487548828125,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,47.396,true,91,1998,2098,0.48779296875,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,32.364,true,91,2098,1998,0.51220703125,12,198,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,28.16,true,91,2092,2004,0.5107421875,12,198,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,26.281,true,91,2090,2006,0.51025390625,12,198,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,25.016,true,91,2081,2015,0.508056640625,12,198,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,47.577,true,91,1979,2117,0.483154296875,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,46.722,true,91,1985,2111,0.484619140625,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,27.39,true,91,2086,2010,0.50927734375,12,198,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,27.422,true,91,2092,2004,0.5107421875,12,198,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,47.146,true,91,1986,2110,0.48486328125,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,3040696138,21.365,true,92,1980,2116,0.4833984375,12,156,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_3040696138.png
ProcGenHybrid,3492673784,40.457,true,101,1799,2297,0.439208984375,12,156,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_3492673784.png
ProcGenHybrid,12345,40.7,true,91,1951,2145,0.476318359375,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,24.032,true,91,2065,2031,0.504150390625,12,198,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,38.14,true,91,1951,2145,0.476318359375,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,2752505493,16.232,true,91,2009,2087,0.490478515625,12,110,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_2752505493.png
ProcGenHybrid,1064435998,34.518,true,88,1785,2311,0.435791015625,12,156,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_1064435998.png
ProcGenHybrid,12345,35.69,true,91,1951,2145,0.476318359375,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,21.502,true,91,2065,2031,0.504150390625,12,198,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,26.761,true,91,2085,2011,0.509033203125,12,198,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,46.938,true,91,1996,2100,0.4873046875,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,586180115,19.018,true,95,2026,2070,0.49462890625,2,13,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_586180115.png
ProcGenHybrid,1871707422,21.429,true,85,1966,2130,0.47998046875,12,162,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_1871707422.png
ProcGenHybrid,2911474395,28.56,true,105,1900,2196,0.4638671875,22,81,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_2911474395.png
ProcGenHybrid,2198016441,18.629,true,73,2216,1880,0.541015625,7,270,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_2198016441.png
ProcGenHybrid,527624547,20.932,true,103,1920,2176,0.46875,12,110,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_527624547.png
ProcGenHybrid,714442863,34.052,true,79,1563,2533,0.381591796875,12,132,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_714442863.png
ProcGenHybrid,2946640332,38.361,true,97,1801,2295,0.439697265625,12,126,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_2946640332.png
ProcGenHybrid,2233619451,23.266,true,86,2062,2034,0.50341796875,12,96,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_2233619451.png
ProcGenHybrid,1723691765,37.554,true,84,1903,2193,0.464599609375,12,130,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_1723691765.png
