algorithm,seed,generation_time_ms,is_connected,path_length,floor_count,wall_count,floor_ratio,room_count,largest_room_area,used_fixed_start_end_rooms,keep_only_reachable_area_from_start,run_index,png_path
WFC,12345,6.882,false,-1,0,256,0.0,0,0,false,true,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,4.277,false,-1,0,256,0.0,0,0,false,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,6.594,false,-1,18,238,0.0703125,0,0,true,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,25.755,false,-1,18,4078,0.00439453125,0,0,true,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,23.057,false,-1,0,4096,0.0,0,0,false,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,16.695,false,-1,0,4096,0.0,0,0,false,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,21.461,false,-1,18,4078,0.00439453125,0,0,true,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,7.481,false,-1,0,256,0.0,0,0,false,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,17.372,false,-1,18,4078,0.00439453125,0,0,false,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,21.082,false,-1,32,4064,0.0078125,0,0,true,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,20.011,false,-1,32,4064,0.0078125,0,0,true,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,37.011,false,-1,32,4064,0.0078125,0,0,true,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,52.579,false,-1,32,4064,0.0078125,0,0,true,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,22.247,true,4,9,4087,0.002197265625,0,0,false,true,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,24.172,false,-1,23,4073,0.005615234375,0,0,true,true,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,23.18,false,-1,18,4078,0.00439453125,0,0,false,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,27.809,false,-1,0,4096,0.0,0,0,false,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,30.078,false,-1,0,4096,0.0,0,0,false,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,27.188,false,-1,18,4078,0.00439453125,0,0,true,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,21.553,false,-1,0,4096,0.0,0,0,false,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,19.522,false,-1,0,4096,0.0,0,0,false,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,25.649,false,-1,0,4096,0.0,0,0,false,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,355.956,false,-1,282,3814,0.06884765625,0,0,false,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,28.754,false,-1,18,4078,0.00439453125,0,0,true,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,468.833,false,-1,308,3788,0.0751953125,0,0,false,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,444.9,true,1,2,4094,0.00048828125,0,0,false,true,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,46.998,false,-1,107,149,0.41796875,0,0,false,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,42.695,false,-1,45,211,0.17578125,0,0,false,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,45.463,false,-1,51,205,0.19921875,0,0,false,false,0,res://output/png/WFC/run_000_seed_12345.png
WFC,12345,41.981,false,-1,89,167,0.34765625,0,0,false,false,0,res://output/png/WFC/run_000_seed_12345.png
